instance,structure,primal_source_inventory,dual_source_inventory,general_casebook_role,historical_primal,historical_dual,historical_conclusion,primal_category,primal_project_baseline,primal_project_result,historical_copt_dual,historical_project_dual,newer_dual_audit_bound,newer_dual_audit_evidence,newer_dual_audit_limits,general_rule,primal_transferable_rule,primal_limitation,source_url,snapshot_commit
a2864-99blp,Conflict graphs and code constructions,True,True,not_explicitly_mapped_here,-257,-257 published theorem,"Optimal, exact geometry crosswalk + published theorem; theorem computation not replayed locally",not_in_project_primal_table,,,-282.960474,-257,-257,Rigorous transfer of a published theorem,The published-theorem transfer establishes -257 rigorously; a matching feasible solution also closes optimality. The computations within the paper were not rerun. Four timed-out derived COPT runs are not premises of this proof. The weaker -282 certificate does not replace -257.,,"Beyond the excluded small exchanges, use ejection chains or large-support replacements while maintaining conflict feasibility.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/a2864-99blp/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
allcolor58,Configuration generation and residual covering,True,True,named_case_or_family_expansion,42,42,"Optimal, exact parity certificate and validated witness",numeric_improvement,258,42,,,,,,String pair counts with strict witness; do not postpone proof as an early agent motivation,Start from a sibling configuration; release capacity classes and generate new configurations instead of selecting only from the old dictionary.,Both the old capacity fixation and the 97-configuration dictionary failed locally. Success required allowing new capacities and configurations; the post hoc parity proof must not be presented as the GPT agent's earlier motivation.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/allcolor58/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
assign1-10-4,Grouped or multiple-choice decisions with coupled resources,True,True,not_explicitly_mapped_here,422,422,"Optimal, exact certificate",not_in_project_primal_table,,,377.444386,422,,,,,Build a conflict graph over the original coupling rows and jointly exchange complete categories; retain the effects of unselected variables.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/assign1-10-4/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
bab3,Grouped or multiple-choice decisions with coupled resources,True,True,not_explicitly_mapped_here,"-656,214.95420 (strict)",no new bound,Exact fixed-unassigned 224-block categorical neighborhood closed; global optimum open,not_in_project_primal_table,,,,,,,,,Build a conflict graph over the original coupling rows and jointly exchange complete categories; retain the effects of unselected variables.,All 224 category blocks and components were closed with the unassigned variables fixed; this must not be treated as a globally independent decomposition.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/bab3/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
bley_xs1,Network design with continuous recourse,True,True,not_explicitly_mapped_here,"3,855,895.86","3,532,608.740610",Feasible; global optimum open,not_in_project_primal_table,,,,,,,,,"Transfer a verifiable design; jointly release capacity, routing, and operating choices, then re-solve the continuous recourse.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/bley_xs1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
bley_xs1noM,Network design with continuous recourse,True,True,not_explicitly_mapped_here,"3,855,895.86 (strict incumbent)","3,344,924.0428 (solver, 720 s)",Equivalent Big-M strengthening improves same-budget numerical bound by 554.6058; global optimum open,numeric_improvement,3873690.77,3855895.86,,,,,,,"Transfer a verifiable design; jointly release capacity, routing, and operating choices, then re-solve the continuous recourse.",The sibling mapping requires checking 883 additional integer upper bounds; subsequent single- and double-capacity-block searches found no better primal solution.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/bley_xs1noM/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
bppc6-06,"Layout, packing, and geometric relations",True,True,named_case_or_family_expansion,208,208,"Optimal, tight-profile CNF/LRAT certificate and exact witness",not_in_project_primal_table,,,201,208,,,,Exact cutoff coding and independent DRAT/LRAT checking,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/bppc6-06/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cdc7-4-3-2,Conflict graphs and code constructions,True,True,not_explicitly_mapped_here,-307,-381,Feasible; all exchanges through 4→5 ruled out,not_in_project_primal_table,,,,,,,,,"Beyond the excluded small exchanges, use ejection chains or large-support replacements while maintaining conflict feasibility.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cdc7-4-3-2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
circ10-3,Time selection and scheduling,True,True,not_explicitly_mapped_here,242,242 published,"Optimal, exact MPS crosswalk + published exhaustive result",numeric_improvement,256,242,141,242,242,Transfer of a published computational result,"The literature-transfer audit passed. The complete external search was not independently replayed, and the full 14-page journal article was not obtained. Local feasibility logs for 242 and the weaker bound 220 do not constitute the external optimality proof.",,"Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/circ10-3/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cmflsp40-36-2-10,Multiperiod production and inventory recourse,True,True,not_explicitly_mapped_here,"66,452,236.4536 (strict repair)","65,928,415.3068 (solver)",985 exact item/period neighborhoods closed; 0.7883% global gap; no strict primal improvement,not_in_project_primal_table,,,64134678.7,65928415.30680852,65928415.306808524,Reconstructed original-model identity plus historical global numerical solver evidence,"Accepted under the model and reasonable-log standards authorized by the user; the missing original global runner still limits complete reproduction. A 32-bit fingerprint is not collision-free mathematical proof of model identity and does not rule out every possible historical callback. No actual evidence of additional restrictions was found, but neither complete recovery of the runner source nor exact certification of every decimal digit is claimed.",,"Jointly release BOM- and equipment-related items and multi-period setups; after fixing the integers, recompute the inventory and demand rows.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cmflsp40-36-2-10/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
