instance,batch,no_skill_primal,primal_skill_primal,no_skill_dual,dual_gurobi_strongest,dual_independent_certified,primal_method,dual_method,primal_evidence,dual_evidence,primal_row_tolerance,primal_integrality_tolerance,primal_max_row_violation,primal_max_integrality_violation,primal_max_bound_violation,dual_exact_closure,primal_outcome,primal_tolerance_accepted,primal_raw_outcome,dual_outcome,selected_primal,primal_source,selected_dual,dual_source,excluded_primal_candidates,gap,baseline_gap,gap_outcome,gap_reduction_pp,direct_gap,direct_gap_outcome,direct_gap_reduction_pp,copt_primal,copt_dual,copt_gap,copt_gap_outcome,copt_gap_reduction_pp,copt_result,copt_runtime_seconds,direct_feasibility_win,copt_feasibility_win,solver_primal,solver_dual,solver_primal_source,solver_dual_source,solver_gap,solver_feasibility_win,solver_gap_reduction_pp,solver_gap_outcome,ai_portfolio_primal_outcome,ai_portfolio_dual_outcome,ai_primal_skill_outcome,ai_dual_skill_outcome,solver_portfolio_primal_outcome,solver_portfolio_dual_outcome,solver_primal_skill_outcome,solver_dual_skill_outcome
graphdraw-grafo2,1,68609.5,68590.5,36415.8465747,53510.5,35762.0,center-free;center-free:compact-order-release;center-free:cost-connected;center-free:order-release;coordinate-aux-completion;geometry-VNS;local-branching;local-branching:pair-hamming;norel;norel:compact-geometry;primal-baseline;primal-baseline:component-placement,edge-disjoint star projections; exact per-component 61Z lattices; complete component-support accounting; globally valid component cuts in the full model; bound-focused branch-and-cut,numerical,"completed floating-point Gurobi global bound on a replay-validated global strengthening, followed by separately proved exact 0.5 objective-lattice rounding",1e-06,1e-06,0.0,0.0,0.0,false,win,False,win,win,68590.5,primal skill,53510.5,dual skill Gurobi,[],0.219855519350347351309583688703246076351681355289726711425051574197592961124353955722731282,0.469230258569148587294762387132977211610637010909567916979427047274794306910850538190775330,win,24.9374739218801235985178698429731135258955655619841205554375473077201345786496582468044048,0.714635712712801225416450121721053639322738586941655953390410022155967066932902978746683443,win,49.4780193362453874106866433017807562971057231651929241965358447958374105808549023023952161,109951.5,36314.1643,0.669725612656489452167546600091858683146660118324897795846350436328744946635562043264530270,win,44.9870093306142100857962911388612606794978763035171084421298862131151985511208087541798988,stop,36000.0,False,False,109951.5,36514.21542626445,COPT historical 10h,Gurobi 150 min,0.667906163842562857259791817301264648504113177173571984011132181007080394537591574466924053,False,44.8050644492215505950208128598018572152431821883845272586080606809487433413237618744192771,win,win,win,win,win,win,win,win,win
polygonpack4-10,1,-53594508.70758318,-53594508.707583256,-93676649.5393,-76521127.37712,unavailable,"['untouched-model incumbent transfer and primal warm start', 'matrix-backed minimal pair-slice representation', 'integer-fixed continuous recourse', 'fixed rotation core with free slice completion', 'constructed polygon insertion/drop rotation designs', 'constructed polygon selection envelopes with all candidate rotations free', 'connected geometry neighborhoods enlarged from 2 to 8 objects', 'binary-domain local branching', 'unrestricted NoRel primal restarts', 'bounded public-layout current kick and rotation-core crossover']","canonical one-hot slices; exhaustive triple conflicts; validated four-, five-, and six-polygon conflict-master separation",numerical,replay-validated numerical global lower bound from a valid conflict relaxation,1e-06,1e-06,9.569714620738523e-07,0.0,0.0,false,tie,False,tie,win,-53594508.707583256,primal skill,-76521127.37712,dual skill Gurobi,[],0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,0.427877609082306364544617491612960950098995958017365457225469379442729251198301455347276834,win,12.8265992586548125292343373731994760660489248112918420515791364428049357923024437432635679,0.446641543195051070686279339782693564600227027636027187413793158188762711837986852612983535,win,14.7029926699292831434005221901727375161720317731580150704115143174082818562709834698342380,-51836818.8,-93676573.4,0.446640532220833773580364543949042440102746115177607467866667292080946248616732601365625955,win,14.7028915725075534328090426068076250664239405273160431156989277066266355341455583450984800,stop,36000.0,False,False,-51836833.79437952,-93676573.4,Gurobi 150 min,COPT historical 10h,0.446640372155419596080144408868823974297932635524860050015450287595596446101432655520254117,False,14.7028755659661356827870290987857784859425925620413013305772272580916552826155637605612962,win,tie,win,tie,win,win,win,win,win
scpm1,1,537,537.0,415,416,414,"['diversification', 'local-branching', 'mixed_cost_compound_pivot', 'norel', 'primal-baseline', 'rins', 'row_weighted_cost_one']",exact nonnegative row aggregation and integer DP; exact rational LP-dual reduced-cost filtering; verified cutoff equivalence; complete bound-focused cutoff infeasibility,numerical+GMP explicit tolerances,numerical complete Gurobi cutoff infeasibility transferred through an independently verified exact reduced-cost cutoff map; exact 414 certificate tracked separately,1e-06,1e-06,0.0,0.0,0.0,false,tie,False,tie,win,537.0,primal skill,416,dual skill Gurobi,[],0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,0.227188081936685288640595903165735567970204841713221601489757914338919925512104283054003724,win,0.186219739292364990689013035381750465549348230912476722532588454376163873370577281191806292,0.296610169491525423728813559322033898305084745762711864406779661016949152542372881355932203,win,7.12842849477637849951077865101158349903733863586150301423476312217908657639743711138465424,630,415.555435,0.340388198412698412698412698412698412698412698412698412698412698412698412698412698412698413,win,11.5062313868936773964706925600780349383701339008601578433980668617540125920014188170612752,stop,36000.0,False,False,590.0,415.555435,Gurobi 150 min,COPT historical 10h,0.295668754237288135593220338983050847457627118644067796610169491525423728813559322033898305,False,7.03428696935264968595145661711327841429157592399709623457374617302654420351608117918126440,win,tie,win,tie,win,win,win,win,win
ger50-17-trans-dfn-3t,1,3969.433399999997,3969.4334,3917.155362335,3934.3152,unavailable,LP_guided_primal_dictionary_selection;diversification;norel;semantic_capacity_LNS:LP_guided_global_dictionary;semantic_capacity_LNS:compact_global_dictionary;semantic_capacity_LNS:diverse_capacity;semantic_capacity_LNS:fixed_integer_continuous_recourse;semantic_capacity_LNS:high_cost;semantic_capacity_LNS:physical_coupling;semantic_capacity_LNS:recombination,rounded multicommodity balance/capacity cuts; full-model branch-and-cut; exact 1/5000 objective lattice; public feasible cutoff after validation,numerical,global numerical Gurobi bound on replay-validated strengthening with exact objective-lattice rounding,1e-06,1e-06,6.718182703480124e-07,0.0,2.948409230149272e-10,false,tie,False,tie,win,3969.4334,primal skill,3934.3152,dual skill Gurobi,[],0.00884715687634411500643895423462703770266053588403826097699485271625920213197178216921336934,0.0131701511014133753977213232095356967480471214373039346475404554997204242351985296342981106,win,0.432299422506926039128236897490865904538658555326567367054560278346122210322674746508474126,0.0177552412585750369010346681335467158753752941913688807220839637582818074725931925398995404,win,0.890808438223092189459571389891967817271475830733061974508911104202260534062141037068617110,4352.9664,3831.36744,0.119826093764472889108447976993344125054583467494718084660612128777286220265793919291451457,win,11.0978936888128774102009022758717087351922931610679823683617276061027018133822137122238088,stop,36000.0,False,False,4002.3268,3931.2645220703394,Gurobi 150 min,Gurobi 150 min,0.0177552412585750369010346681335467158753752941913688807220839637582818074725931925398995404,False,0.890808438223092189459571389891967817271475830733061974508911104202260534062141037068617106,win,tie,win,tie,win,win,win,win,win
eva1aprime6x6opt,2,-18.100995280293148,-18.100996765491708,-239.4227696265,-96.70380539695806,unavailable,active_core_exchange;component_insert_eject_recourse;equilibrium_connected;fixed_integer_recourse;packing_connected;parent_union_equilibrium_extension;parent_union_recombination;public_design_crossover;public_pattern_lp_completion;public_pattern_lp_completion_1;public_pattern_lp_completion_2;public_pattern_lp_completion_3;recourse_connected;warm_primal_baseline;whole_core_norel;whole_core_primal,exact binary-alias extraction; integral set-packing conflict graph; 6676 maximal-clique cuts; generic-cut suppression; objective-support priority branching; targeted indicator diagnostics,numerical,global numerical Gurobi bound on a replay-validated clique-cut strengthening with objective-priority branching,1e-06,1e-06,8.13215095263331e-09,0.0,0.0,false,win,False,win,win,-18.100996765491708,primal skill,-96.70380539695806,dual skill Gurobi,[],0.812820222625271190703449995214443264074927743667883474010352455632847841879113737173839813,0.924397352396638227517559745791131583069511919340264511489816925271755153400825451126508586,win,11.1577129771367036814109750576688318994584175672381037479464469638907311521711713952668773,0.908988524788594700656680218828801122241651493100705676432998445383572746540534252016751162,win,9.61683021633235099532302236143578581667237494328222024226459897507249046614205148429113493,1.71485284,-140.895641,1.01217108512249857325252525023112673869023385897367825595115465637435866450971325649457104,win,19.9350862497227382549075255016683474615306115305794781940802200741510822630599519320731229,stop,36000.0,False,False,-13.360636598750812,-140.895641,Gurobi 150 min,COPT historical 10h,0.905173527698058366475652713769902931205657384389911679382614824826269820512048346477943913,False,9.23533050727871757722027185554596671307296407220282053722623691934219786329346093041041000,win,win,win,win,win,win,win,win,win
cmflsp60-36-2-6,2,73891245.64760005,73891245.26398355,73188341.59842,73054818.85442139,unavailable,DP_partial_core_repair;continuous_interval_path_column_master;coupled_period_setup_window;full_interval_arc_difference_flow_reformulation;integer_fixed_continuous_recourse;integer_fixed_continuous_recourse_gap0;unrestricted_primal_NoRel_restart;verified_setup_design_crossover;verified_transfer_primal_pilot;whole_family_horizon_release,"original-model branch-and-cut; capacity Lagrangian probe; exact activation-prefix, family-activation, and active-period OR extensions",numerical,replay-validated numerical global lower bound on an exact active-period extension,1e-06,1e-06,9.799181301950455e-07,0.0,0.0,false,win,False,win,loss,73891245.26398355,primal skill,73054818.85442139,dual skill Gurobi,[],0.0113196956767198407651656712426059375132192367875546547433424138655145237059174392792103905,0.00951268371536621896538149857548067099754224858382193912153575208803818193885986052184203126,loss,-0.180701196135362179978417266712526651567698820373271562180666177747634176705757875736835926,0.00741642374984795532405042210541920960366170390915297946911749146735195117828744686790768525,loss,-0.390327192687188544111524913718672790955753287840167527422492239816257252762999241130270525,74492812.1,72075510.1,0.0324501375616614693486648492358365405297942833332774666456711734205024057616426055152239312,win,2.11304418849416285834991779932306030165750465457228119023287595549878820557251662360135407,stop,36000.0,False,False,73891245.6476,73343236.85847329,Gurobi 150 min,Gurobi 150 min,0.00741642374984795532405042210541920960366170390915297946911749146735195117828744686790768525,False,-0.390327192687188544111524913718672790955753287840167527422492239816257252762999241130270525,loss,win,loss,win,loss,win,loss,win,loss
r4l4-02-tree-bounds-50,2,499110528,499061405.0,480648435.4129,483755247.8932753,476622475,accepted_new_integer_pattern_full_continuous_recourse;all_original_chord_L1_period_deviation_with_continuous_recourse;coefficient_proved_phase_propagation_with_tree_lift;finite_choice_all_event_binary_selection_with_original_tree_lift;fixed_shift_all_event_binary_selection_with_original_tree_lift;full_original_diversification;full_original_norel;full_original_rins;integer_pattern_continuous_recourse;native_integer_row_graph_joint_lns;new_pattern_incumbent_transfer_full_original_rins;pesp_connected_event_incident_chord_lns;pesp_verified_chord_pattern_recombination;precise_fixed_period_pattern_continuous_recourse;warm_original_primal_baseline,exact spanning-tree elimination of PESP potentials; bound-focused branch-and-cut on the exact projection; exact edge-disjoint cycle-congruence packing with independent integer replay,numerical,numerical Gurobi bound on an independently verified exact-equivalent fixed-tree PESP projection; exact cycle-congruence certificate tracked separately,1e-06,1e-06,0.0,0.0,0.0,false,win,False,win,win,499061405.0,primal skill,483755247.8932753,dual skill Gurobi,[],0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,0.0369899882919320026845837241085004722641314430458176991209450104005820530397627677370892886,win,0.632010087251775244818245400828104135061489892435833682062847921139903056179735584554059230,0.0466914023470165408141536839901995544865596966483286195674579048285105649502735445302159530,win,1.60215149276022905777524138899801235730431525268692572671413736393275424723081326386672567,512613056,478217938,0.0670976238264208393474863035872422258398350275339065885984768987233910796060566978613982083,win,3.64277364070065891110850334870227949263184834124472262981603675342080571280912859698495120,stop,36000.0,False,False,502956319.0,479472583.1465966,Gurobi 150 min,Gurobi 150 min,0.0466914023470165408141536839901995544865596966483286195674579048285105649502735445302159530,False,1.60215149276022905777524138899801235730431525268692572671413736393275424723081326386672567,win,win,win,win,win,win,win,win,win
sct1,2,-187.52764944960393,-187.52765083903063,-200.2450490980,-199.81870652161473,unavailable,LP_selected_group_repair;bounded_original_primal_baseline;bounded_worsening_diverse_center;coupled_resource_groups;distinct_verified_pattern_coherent_crossover;enlarged_selector_bridge_groups;fixed_integer_recourse;full_original_primal_diversification;high_degree_gate_and_assignment_groups;objective_penalty_completion_groups;original_active_choice_alternation_exchange;original_binary_hamming_local_branching_repair;original_reward_choice_insertion_exchange;penalty_gate_ejection;tight_resource_groups;verified_solution_crossover;verified_solution_crossover__full_core_fallback,exact activation-integrality strengthening for 818 variables; full-model branch-and-cut; validated public start/cutoff; group-OR diagnostic,numerical,global numerical Gurobi bound on an independently replayed optimal-value-preserving strengthening,1e-06,1e-06,7.677366085090398e-07,9.099498705644748e-07,1.877819929746498e-07,false,win,False,win,win,-187.52765083903063,primal skill,-199.81870652161473,dual skill Gurobi,[],0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,0.0635091839008322746482408016213794201778482764014348684978442732295032234405390172859014172,win,0.199814773938782269273711728047505220284027017955716258007629241451359737147616265413927513,0.0608077479734188338521423282042790608025889647273468091788459865896069523848312711804040444,loss,-0.0703288188025618103361356136625307172419041494530896738921994225382673684231583451358097668,-170.822429,-202.560756,0.156685468729194513867236948898433218722781623109660984875076196891761205709560049232833629,win,9.51744325677500619117332645575288507477736168877832789573082160767715796404971946010714874,stop,36000.0,False,False,-187.85043796133093,-200.01276368708199,Gurobi 150 min,Gurobi 150 min,0.0608077479734188338521423282042790608025889647273468091788459865896069523848312711804040444,False,-0.0703288188025618103361356136625307172419041494530896738921994225382673684231583451358097700,loss,win,win,win,win,loss,win,loss,win
shipsched,3,111919.9869111547,111919.99954622652,81014.60455187,85777.6824670317,0,canal_event_corridor;checked_parent_whole_pair_recombination;multi_ship_expanded_order_star;multi_ship_order_star;pair_state_anchor_recourse;post_pilot_full_core_norel;public_pattern_original_recourse_1;public_pattern_original_recourse_2;public_pattern_original_recourse_4;temporal_pair_conflict_search;warm_primal_baseline;whole_core_norel,exact event-chain tight-M reformulation; triangle and fixing cuts; indicator representation; exact zero-offset core projection; measured full-model branch-and-cut fallback; validated public cutoff/start diagnostic,numerical,"global numerical Gurobi bound on the untouched original model, kept separate from an exact objective-domain floor",1e-06,1e-06,7.748894859105349e-10,1.7915711961729536e-09,0.0,false,loss,False,loss,win,111919.99954622652,primal skill,85777.6824670317,dual skill Gurobi,[],0.233580389431624429701067186548147042117243306408578119690196526301617223229059837496312720,0.276138187755671202254597605213002755391946156173374768432293807484070499526277542826751634,win,4.25577983240467725535304186648557132747028497647966487420972811824532762972177053304389143,0.324726314274622851949768671513549239920687376074025115664243225380039656311962987442167878,win,9.11459248429984222487014849654021978034440696654469959740466990784224330829031499458551584,130497.996,67029.7019,0.486354549843048930805037036737330433794554209092988677006197091333111352913036304404245411,win,25.2774160411424501103969850189183391677310902684410557316000565031494129683976466907932691,stop,36000.0,False,False,121040.0,81735.12692019965,Gurobi 150 min,Gurobi 150 min,0.324726314274622851949768671513549239920687376074025115664243225380039656311962987442167878,False,9.11459248429984222487014849654021978034440696654469959740466990784224330829031499458551580,win,loss,win,loss,win,win,win,win,win
rocII-8-11,3,-8.739844934961763,-8.739844934961763,-11.8377922287,-11.82,-12,configuration_marginal_extension;control_beam_fixed_configuration_original_recourse;coupled_confidence_period_configuration_window;public_ID2_integer_core_continuous_repair;unrestricted_confidence_control_NoRel_restart;unrestricted_primal_NoRel_waiting_structure;verified_public_transfer_primal_pilot,exact objective-cardinality certificate; exhaustive P#0#10 split; ordered confidence-endpoint hull; successive cutoff exclusion,numerical,replay-validated numerical global lower bound over an exhaustive binary split,1e-06,1e-06,4.440892098500626e-15,0.0,0.0,false,tie,False,tie,win,-8.739844934961763,primal skill,-11.82,dual skill Gurobi,[],0.260588414977854230118443316412859560067681895093062605752961082910321489001692047377326565,0.261699752275382407007999761887221405511472456985749461331901945345384096925394282410294725,win,0.111133729752817688955644547436184544379056189268685557894086243506260792370223503296815986,0.346698278376186838066466505027003479594308986546789458802796046174177869731597402737401093,win,8.61098633983326079480231886141439195266270914537268530498349632638563807299053553600745281,-4.72446527,-11.889881,0.602648229195901960667226190068681091089137056964657594134037169926259144225244979323174050,win,34.2059814218047730548782873655821531021455161871594988381076087015937655223552931945847485,stop,36000.0,False,False,-7.723856420472524,-11.822801264436444,Gurobi 150 min,Gurobi 150 min,0.346698278376186838066466505027003479594308986546789458802796046174177869731597402737401093,False,8.61098633983326079480231886141439195266270914537268530498349632638563807299053553600745280,win,tie,win,tie,win,win,win,win,win
